Date,Close
1/2/2020 16:00,6.31
1/3/2020 16:00,5.88
1/6/2020 16:00,5.85
1/7/2020 16:00,5.52
1/8/2020 16:00,5.72
1/9/2020 16:00,5.55
1/10/2020 16:00,5.43
1/13/2020 16:00,5.43
1/14/2020 16:00,4.71
1/15/2020 16:00,4.61
1/16/2020 16:00,4.62
1/17/2020 16:00,4.75
1/21/2020 16:00,4.59
1/22/2020 16:00,4.56
1/23/2020 16:00,4.62
1/24/2020 16:00,4.32
1/27/2020 16:00,4.28
1/28/2020 16:00,4.21
1/29/2020 16:00,4.13
1/30/2020 16:00,3.93
1/31/2020 16:00,3.84
2/3/2020 16:00,3.95
2/4/2020 16:00,4.07
2/5/2020 16:00,4.18
2/6/2020 16:00,4.14
2/7/2020 16:00,3.81
2/10/2020 16:00,3.94
2/11/2020 16:00,4.02
2/12/2020 16:00,4.19
2/13/2020 16:00,4.11
2/14/2020 16:00,4.02
2/18/2020 16:00,4.06
2/19/2020 16:00,4.15
2/20/2020 16:00,4.14
2/21/2020 16:00,4.04
2/24/2020 16:00,3.7
2/25/2020 16:00,3.56
2/26/2020 16:00,3.39
2/27/2020 16:00,3.47
2/28/2020 16:00,3.6
3/2/2020 16:00,3.83
3/3/2020 16:00,3.63
3/4/2020 16:00,3.77
3/5/2020 16:00,3.96
3/6/2020 16:00,3.92
3/9/2020 16:00,3.7
3/10/2020 16:00,4.23
3/11/2020 16:00,4.14
3/12/2020 16:00,3.98
3/13/2020 16:00,4.59
3/16/2020 16:00,4.37
3/17/2020 16:00,4.23
3/18/2020 16:00,3.77
3/19/2020 16:00,4.19
3/20/2020 16:00,3.76
3/23/2020 16:00,3.81
3/24/2020 16:00,4.16
3/25/2020 16:00,4.17
3/26/2020 16:00,4.41
3/27/2020 16:00,4.22
3/30/2020 16:00,3.65
3/31/2020 16:00,3.5
4/1/2020 16:00,3.25
4/2/2020 16:00,2.85
4/3/2020 16:00,2.8
4/6/2020 16:00,3.09
4/7/2020 16:00,3.27
4/8/2020 16:00,3.41
4/9/2020 16:00,3.89
4/13/2020 16:00,4.74
4/14/2020 16:00,5.95
4/15/2020 16:00,5.27
