Date,Close
1/2/2020 16:00,64.03
1/3/2020 16:00,63.69
1/6/2020 16:00,63.33
1/7/2020 16:00,62.87
1/8/2020 16:00,63.13
1/9/2020 16:00,62.97
1/10/2020 16:00,62.66
1/13/2020 16:00,62.95
1/14/2020 16:00,63.7
1/15/2020 16:00,62.62
1/16/2020 16:00,63.44
1/17/2020 16:00,63.39
1/21/2020 16:00,62.06
1/22/2020 16:00,61.49
1/23/2020 16:00,61.63
1/24/2020 16:00,60.64
1/27/2020 16:00,59.91
1/28/2020 16:00,60.09
1/29/2020 16:00,59.12
1/30/2020 16:00,60.1
1/31/2020 16:00,59.06
2/3/2020 16:00,59.92
2/4/2020 16:00,60.58
2/5/2020 16:00,61.59
2/6/2020 16:00,60.96
2/7/2020 16:00,60.35
2/10/2020 16:00,60.71
2/11/2020 16:00,60.77
2/12/2020 16:00,60.97
2/13/2020 16:00,61.87
2/14/2020 16:00,61.82
2/18/2020 16:00,61.65
2/19/2020 16:00,62.35
2/20/2020 16:00,63.45
2/21/2020 16:00,62.69
2/24/2020 16:00,59.82
2/25/2020 16:00,56.78
2/26/2020 16:00,55.94
2/27/2020 16:00,54
2/28/2020 16:00,52.64
3/2/2020 16:00,55.09
3/3/2020 16:00,53.47
3/4/2020 16:00,55.32
3/5/2020 16:00,53.34
3/6/2020 16:00,51.12
3/9/2020 16:00,42.21
3/10/2020 16:00,45.51
3/11/2020 16:00,42.55
3/12/2020 16:00,40.24
3/13/2020 16:00,43.18
3/16/2020 16:00,37.81
3/17/2020 16:00,42.67
3/18/2020 16:00,32.92
3/19/2020 16:00,35.14
3/20/2020 16:00,33.81
3/23/2020 16:00,31.98
3/24/2020 16:00,34.92
3/25/2020 16:00,34.96
3/26/2020 16:00,37.37
3/27/2020 16:00,37.19
3/30/2020 16:00,37.91
3/31/2020 16:00,37.54
4/1/2020 16:00,35.09
4/2/2020 16:00,37.34
4/3/2020 16:00,35.62
4/6/2020 16:00,37.8
4/7/2020 16:00,37.87
4/8/2020 16:00,41.49
4/9/2020 16:00,44.84
4/13/2020 16:00,41.92
4/14/2020 16:00,40.4
4/15/2020 16:00,37.86
4/16/2020 16:00,35.9
4/17/2020 16:00,38.87
4/20/2020 16:00,38.4
4/21/2020 16:00,35.15
4/22/2020 16:00,34.35
4/23/2020 16:00,34.88
4/24/2020 16:00,35.35
4/27/2020 16:00,38.24
4/28/2020 16:00,39.02
4/29/2020 16:00,41.16
4/30/2020 16:00,40.25
5/1/2020 16:00,38.59
5/4/2020 16:00,37.8
5/5/2020 16:00,37.17
5/6/2020 16:00,36.17
5/7/2020 16:00,36.84
5/8/2020 16:00,39.88
5/11/2020 16:00,38.17
5/12/2020 16:00,35.72
5/13/2020 16:00,33.24
5/14/2020 16:00,34.79
5/15/2020 16:00,34.45
5/18/2020 16:00,37.1
5/19/2020 16:00,34.91
5/20/2020 16:00,36.79
5/21/2020 16:00,37.32
5/22/2020 16:00,36.9
5/26/2020 16:00,40.81
5/27/2020 16:00,43
5/28/2020 16:00,41.03
5/29/2020 16:00,39.85
6/1/2020 16:00,40.56
6/2/2020 16:00,40.42
6/3/2020 16:00,42.69
6/4/2020 16:00,43.96
6/5/2020 16:00,47.14
6/8/2020 16:00,48.98
6/9/2020 16:00,48.65
6/10/2020 16:00,44.26
6/11/2020 16:00,39.75
